post_shortcode;comment_text;final_data;predicted_aspect;sentiment_label;sentiment_value
DFKccJJPeW_;Pemasangan baru tidak ada kelanjutan setelah survey.katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….;pasang tidak lanjut survey kata komplain layan langgan whatsapp sedang whatsapp tidak tanggap;Pelayanan;Negatif;-1
DFKccJJPeW_;Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:;komplain biasa an aduh serba bayar kan ga percaya perintah;Pelayanan;Netral;0
DFKccJJPeW_;Min kalau puteran PDAM dol itu sya ngadu kesiapa ya;admin keran pdam rusak adu ke siapa;Meteran (Macet/Bermasalah);Netral;0
DFKccJJPeW_;Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh;denda pdam lambat kalah pinjol parah;Harga;Negatif;-1
DFKccJJPeW_;Air ya klo pagi dan jam 3 sore kenapa selalu mati;air pagi jam sore mati;Air Tidak Mengalir;Negatif;-1
DFKccJJPeW_;gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!;si hubung layan adu hampir minggu tidak tindak;Pelayanan;Netral;0
DFKccJJPeW_;Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek;air pdam daerah jemurwonosari pagi mati sore keluar kecil kotor cek;Air Tidak Mengalir;Negatif;-1
DFKccJJPeW_;Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..;tenggumung wetan gang garuda mati tindak lanjut;Pelayanan;Negatif;-1
DFKccJJPeW_;PDAM tidak keluar air setro baru Utara 9;pdam tidak keluar air setro utara;Air Tidak Mengalir;Netral;0
DFKccJJPeW_;Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal;tugas pdam rumah tidak guna seragam resmi pdam kata remaja meter lurah dukuh tanggal;Meteran (Macet/Bermasalah);Netral;0
DFKccJJPeW_;Pdam naik melulu ya?;pdam;Lainnya;Netral;0
DFKccJJPeW_;Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, sedangkan dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.;halo kakak selamat malam maaf ganggu keluh kait alir air pdam wilayah daerah putih makam blok nya air alir malam pagi hingga sore tidak alir air sulit aktivitas rumah tangga tekan air masuk rumah kecil lupa tutup katup pipa air tandon sedot habis duga sistem distribusi air lingkung guna skema seri bukan paralel sebab alir air tidak stabil tidak sedia jam;Air Tidak Mengalir;Netral;0
DFKccJJPeW_;Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Tidak Mengalir;Negatif;-1
DFKccJJPeW_;Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9;cek setro utara air kecil tandon tidak isi tindak lanjut terima kasih setro utara;Air Tidak Mengalir;Positif;1
DFKccJJPeW_;Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih;maaf air pdam daerah surabaya wiyung kotor satu minggu cek tandon stok air terima kasih;Air Kotor/Bau;Positif;1
DFKccJJPeW_;Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?;halo pakai m tagih m kakak;Lainnya;Netral;0
DFKccJJPeW_;@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr;air kalijudan mati keluar;Air Tidak Mengalir;Negatif;-1
DFKccJJPeW_;Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong;lapor pdam kasih nomor catat meter di telepon ga bisa woi tagih ku tidak meter cepat respon;Meteran (Macet/Bermasalah);Positif;1
DFKccJJPeW_;Petugas yg dtg ada bbrpa, jd bingung;tugas bingung;Lainnya;Netral;0
