comment_text;final_data;predicted_aspect;true_aspect_1;similarity_score
Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati;selamat pagi mhon informasi wilayah medok cantik baik nggekok air mati;Lainnya;Air Tidak Mengalir;0.04197577992050456
Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi;informasi air tempat mati kemarenarea mem bandarejo gang candi;Lainnya;Air Tidak Mengalir;0.04262322787734849
Simolangit gak ada air nya piye PDAM iki;simolangit tidak air nya pdam;Lainnya;Air Tidak Mengalir;0.0
Srby utara udah 2hari gak nyala:crying_face: airnya;surabaya utara tidak air;Lainnya;Air Tidak Mengalir;0.0
Kok di gubeng masih ngga nyala ya dri tadi malam;gubeng tidak malam;Lainnya;Air Tidak Mengalir;0.0
bulak rukem timur yaopo iki min seminggu banyu e angell;bulak rukem timur admin minggu air nya susah;Lainnya;Air Tidak Mengalir;0.0
@pdamsuryasembada d daera mulyorejoo dri jaman ada galian sampai galian selesaaiii tetap aja airr sulitt....tpi pas hari raya air nya kok lancar jayaaa:fire:;daerah mulyorejoo jaman gali gali selesai airr sulit tapi pas raya air nya lancar jaya;Lainnya;Air Tidak Mengalir;0.0
Tolong @pdamsuryasembada rumah saya sudah 4hari ini tiap pagi mati airnya. Nyala cmn malam aja jam. Biasanya gapernah gini. Dan di daerah rumah saga cmn rumah saya aja yg begitu. Gangguan airnya. Tolong info penjelasannya dan solusinya.;rumah pagi mati air cuman malam jam tidak pernah gin daerah rumah cuman rumah ganggu air informasi jelas solusi;Lainnya;Air Tidak Mengalir;0.030438458211025997
Telat nyimak...coba tau drtd dah Menuhin air min:pensive_face:;lambat nyimak coba dari tadi deh isi air admin;Lainnya;Air Tidak Mengalir;0.0
jadi kapan nyala air nya??? bak mandi dah kosong;air nya bak mandi deh kosong;Lainnya;Air Tidak Mengalir;0.0
Kapan yaa seleaainya airnya loo udah gak ada samsek di rumah;selesai air loh tidak sama sekali rumah;Lainnya;Air Tidak Mengalir;0.0
duh gk ada air:crying_face:;aduh ga air;Lainnya;Air Tidak Mengalir;0.0
Sampe sekarang masih belum nyala juga untuk area Rungkut permai :clapping_hands:;area rungkut permai;Lainnya;Air Tidak Mengalir;0.0
Air bak mandi habis ... Kapan ya selesai ?;air bak mandi habis selesai;Lainnya;Air Tidak Mengalir;0.0
Ayo kpn nyala gunung anyar;ayo gunung anyar;Lainnya;Air Tidak Mengalir;0.0
Sampai sekarang belum nyala airnya min.. :crying_face:;air admin;Lainnya;Air Tidak Mengalir;0.0
Apa masih belum selesai minn krn belum nyala sampe sekarang:crying_face:;selesai minn;Lainnya;Air Tidak Mengalir;0.0
Gunung anyar belum nyala min;gunung anyar admin;Lainnya;Air Tidak Mengalir;0.0
Gada aer;gaada air;Lainnya;Air Tidak Mengalir;0.0
Pdam tolong ya perumahan kencana residence kalilom lor indah,klo siang airnya tdk pernah nyala,malam nyala di atas jam 9 tp ini tdk nyala,gimana mau kerjaa,saya sdh tahan2 dr lama ini;pdam rumah kencana residence kalilom lor indahklo siang air tidak nyalamalam jam tidak nyalagimana kerjaasaya tahan;Lainnya;Air Tidak Mengalir;0.0
Pak air di kodam mati,kate sholat bingung g onok banyu;air kodam matikate sholat bingung ga air;Lainnya;Air Tidak Mengalir;0.0
So far bad experience, air mati sebelum masuk meteran tetapi tidak ada penanganan yang baik dari pihak PDAM, pelaporan hanya cmn bertugas melapor tanpa ada konfirmasi pengerjaan yg jelas, laporan setelah tinjau pun tidak akurat, kacau;so far bad experience air mati masuk meter tidak tangan pdam lapor cuman tugas lapor konfirmasi kerja lapor tinjau tidak akurat kacau;Lainnya;Air Tidak Mengalir;0.025963656886893834
PDAM Kebraon kumat maneh iki lhoo. Gatau nggawe pengumuman blasss. Heran;pdam kebraon kambuh loh ga pernah pakai umum sama sekali heran;Lainnya;Air Tidak Mengalir;0.0
Dijojoran pdamx kalau sama yg pakai sanyoo,,,dirumah klre lak malam aja air pdamx;dijojoran pdamx pakai sanyoodirumah klre malam air pdamx;Lainnya;Air Tidak Mengalir;0.0
Halo kak, kebraon sek suwe ta murupe? Gaonok info blas moro2 mati rek;halo kak kebraon sek suwe ta nyala gaada informasi sama sekali moro mati kawan;Lainnya;Air Tidak Mengalir;0.034525149097959756
AIR PDAM kebraon mati tapi gak ada info sama sekali,kacau ini jam aktivitas kerja dan sekolah loh ini;air pdam kebraon mati tidak informasi sekalikacau jam aktivitas kerja sekolah loh;Lainnya;Air Tidak Mengalir;0.045931770097208786
Tolong ditindaklanjuti ya min @pdamsuryasembada . Air di kebraon mati dari sesudah subuh. Orang mau berangkat kerja jadi ga bisa mandi nih. Terima kasih:folded_hands:;ditindaklanjuti admin air kebraon mati subuh berangkat kerja ga mandi terima kasih;Lainnya;Air Tidak Mengalir;0.04640745665501264
Kapan murupe Iki banyune min daerah Kemlaten? @pdamsuryasembada;nyala air admin daerah kemlaten;Lainnya;Air Tidak Mengalir;0.0
Bapak bapak apakah air matinya masih lamaa, kebraon dari pagi niiih. Mau mandii uda soreee;air mati lamaa kebraon pagi niiih mandi uda soreee;Lainnya;Air Tidak Mengalir;0.04474396178456271
Dari tadi di kolom komen estimasi 1 jam slesai tp smpek jam set 12 belom nyala nih air HMMM;kolom komen estimasi jam selesai jam set air;Lainnya;Air Tidak Mengalir;0.0
Terpantau di Sumberan balas klumprik masih belom nyala ya min :sweat_droplets:...;pantau sumber balas klumprik admin;Lainnya;Air Tidak Mengalir;0.0
@pdamsuryasembada Air padam di wilayah Kelurahan Kebraon. Perbaikan sudah selesai atau belum? Kapan menyala/normalisasi lagi? Terimakasih.;air padam wilayah lurah kebraon baik selesai nyala normal terimakasih;Lainnya;Air Tidak Mengalir;0.0
Sumberan bongko banyumu,cak @pdamsuryasembada;sumber bongko banyumucak;Lainnya;Air Tidak Mengalir;0.0
Ayoo pak Ndak dinyalakan air Kebraon , Iki akeh aktifitas pak;ayoo tidak nyala air kebraon akeh aktivitas;Lainnya;Air Tidak Mengalir;0.0
Jedengku Pesing...gak iso di gebyur...sampai Saiki area balasklumprik jek mati banyune;kamar mandi ku pesing ga gebyursampai area balasklumprik mati air;Lainnya;Air Tidak Mengalir;0.041895274357057755
Kebraon PDAM e mati bos. Iki jam kerjo. Mosok budal kerjo gag adus;kebraon pdam nya mati bos jam kerja berangkat kerja tidak mandi;Lainnya;Air Tidak Mengalir;0.04633519396999398
Daan tdk diinfo sama sekali. Pas km mandi waktu nguras pagi,pas air mati;daan tidak info pas mandi nguras pagipas air mati;Lainnya;Air Tidak Mengalir;0.04458601050539358
Sido E nyala jam piro Min ,Kebraon Iki ?;sido nya jam piro admin kebraon;Lainnya;Air Tidak Mengalir;0.0
Air di daerah kebraon kok masih belum nyala;air daerah kebraon;Lainnya;Air Tidak Mengalir;0.0
kalau ada perbaikan mohon ada pemberitahuan. jadi bisa persiapan air, dan air bersih di bak mandi tidak tercampur dengan air keruh. kalau begini saya harus kuras bak mandi. MOHON DAPAT DIJADIKAN PERTIMBANGAN DI KEMUDIAN HARI.;baik mohon pemberitahuan siap air air bersih bak mandi tidak campur air keruh kuras bak mandi mohon jadi timbang;Lainnya;Air Tidak Mengalir;0.046398966678197553
Di lontar belum nyala;lontar;Lainnya;Air Tidak Mengalir;0.0
Waduuh ini PDAM KEBRAON belum nyala kahhh?? Tolongg pakk nyalakan airnyaa, butuh iniii;waduuh pdam kebraon kahhh tolongg pakk nyala airnyaa butuh iniii;Lainnya;Air Tidak Mengalir;0.0
sampai jam brp ini Kebraon PDAMnya nyala boss???;jam kebraon pdamnya bos;Lainnya;Air Tidak Mengalir;0.0
Kapan nyala iki kebraon, info pok'o minnnnnn, budal kerjo mosok Raup tok;kebraon informasi poko minnnnnn berangkat kerja raup tok;Lainnya;Air Tidak Mengalir;0.0
Kebiasaan, perbaikan waktu pagi² dan mau siap² berangkat kerja. Berapa jam ini perbaikannya!;biasa baik pagi berangkat kerja jam baik;Lainnya;Air Tidak Mengalir;0.0
kedurus ini kapan selesainya jamberapaaaaaa air normaaal?;kedurus selesai jam berapa air normal;Lainnya;Air Tidak Mengalir;0.0
Min...min daerah Kebraon bkok belom nyala dari pagi Ampe sekarang ini gmn saya mau aktifitas klo gak ada air sama sekali;minmin daerah kebraon b kok pagi aktivitas tidak air;Lainnya;Air Tidak Mengalir;0.0
MINTA TOLONG BILA ADA RENCANA UNTUK PEMADAMAN PDAM BISA DI SHARE DI IG. MINIMAL PELANGGAN BISA MENAMPUNG AIR NYA. TERIMA KASIH;rencana padam pdam share instagram minimal langgan tampung air nya terima kasih;Lainnya;Air Tidak Mengalir;0.0
Halo min manukan kulon dirumah saya smp saat ini blom nyala sama sekali.. Gimana ini?;halo admin manuk kulon rumah;Lainnya;Air Tidak Mengalir;0.0
karangan wiyung hari ini 7 maret gak keluar,,tapi tetangga kanan kiri air nya normal;karang wiyung maret tidak keluartapi tetangga kanan kiri air nya normal;Lainnya;Air Tidak Mengalir;0.0
bendul bayune mati,lekkk @pdamsuryasembada;bendul bayune matilekkk;Lainnya;Air Tidak Mengalir;0.0
min kawasan kampung seng nyala airnya malam terus. mohon di cek.;admin kawasan kampung seng air malam mohon cek;Lainnya;Air Tidak Mengalir;0.0
Min,, sahur-sahur kok air di manukan di matiin sih? Apa ada perbaikan yaa? @pdamsuryasembada;admin sahur sahur air manuk matiin sih baik;Lainnya;Air Tidak Mengalir;0.0
Daerah Wisma Pagesangan kok jadi ikutan mati airnya, kenapa selalu begini sih @pdamsuryasembada, capek banget sayaa;daerah wisma pagesangan mati air sih capek sayaa;Lainnya;Air Tidak Mengalir;0.04543536732482712
