comment_text;final_data;predicted_aspect;true_aspect_1;similarity_score
Selamat pagi, mhon info wilayah Medokan ayu apa ada perbaikan ngge?kok airnya mati;selamat pagi mohon informasi wilayah medok cantik baik ya kok air mati;Lainnya;Air Tidak Mengalir;0.0408864877987941
Info donk air ditempat saya mati dari kemaren,,area sememi bandarejo gg candi;informasi air tempat mati kemarin area mem bandarejo gang candi;Lainnya;Air Tidak Mengalir;0.04024088527661866
Simolangit gak ada air nya piye PDAM iki;simolangit tidak air nya pdam;Lainnya;Air Tidak Mengalir;0.0
Srby utara udah 2hari gak nyala:crying_face: airnya;surabaya utara tidak air;Lainnya;Air Tidak Mengalir;0.0
Harusnya daerah Kenjeran Babatan Pantai jgn ikutan kena dampaknya dong sampai dimatikan seharian airnya;daerah kenjeran babatan pantai kena dampak mati hari air;Lainnya;Air Tidak Mengalir;0.04601314367220557
Kok di gubeng masih ngga nyala ya dri tadi malam;gubeng tidak malam;Lainnya;Air Tidak Mengalir;0.0
Astaga beberapa hari ini saya mengangsu air lho gara2 air ngga bisa naik,sementara air di luar keluar. SAMPAI KAPAN?!. Apa daerah Residen sudirman ikut ngagel y? :face_with_raised_eyebrow::hot_face::face_with_steam_from_nose::crying_face:;astaga isi air loh gara air tidak naik sementara air keluar daerah residen sudirman ngagel;Lainnya;Air Tidak Mengalir;0.04998198842144403
bulak rukem timur yaopo iki min seminggu banyu e angell;bulak rukem timur admin minggu air nya susah;Lainnya;Air Tidak Mengalir;0.0
":face_with_tears_of_joy::face_with_tears_of_joy:lucu nih , saya tinggal di perum manyar jaya , dari tahun lalu semenjak pengerjaan gorong"" manyar indah manyar jaya manyar rejo ... Air saya sampai sekarang dari pagi pukul 6 pagi sampai pukul 9 MALAM air mati , baru nyala pukul 21.30 malam bayangkan BERAPA BULAN SAYA MENAMPUNG AIR???? Mau protes telfon saya sdh capek :rolling_on_the_floor_laughing:. Tapi herannya kalau libur NASIONAL Air saya kok nyala lancar kayak saya dlu tinggal d sini , tetangga saya 30 tahun tinggal disini tidak menggunakan tandon tidak ada maslah!! Semenjak skg kok air jadi buruk jelek sekali tolong diperbaiki ya pdam :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: @pdamsuryasembada @pdamsuryasembada";lucu perum manyar jaya semenjak kerja gorong manyar indah manyar jaya manyar rejo air pagi pagi malam air mati malam bayang tampung air protes telepon capek heran libur nasional air lancar kayak tetangga sini tidak guna tandon tidak mas semenjak air buruk jelek baik pdam;Lainnya;Air Tidak Mengalir;0.01500873892709987
@pdamsuryasembada d daera mulyorejoo dri jaman ada galian sampai galian selesaaiii tetap aja airr sulitt....tpi pas hari raya air nya kok lancar jayaaa:fire:;daerah mulyorejo jaman gali gali selesai air sulit tapi pas raya air nya lancar jaya;Lainnya;Air Tidak Mengalir;0.0
Tolong @pdamsuryasembada rumah saya sudah 4hari ini tiap pagi mati airnya. Nyala cmn malam aja jam. Biasanya gapernah gini. Dan di daerah rumah saga cmn rumah saya aja yg begitu. Gangguan airnya. Tolong info penjelasannya dan solusinya.;rumah pagi mati air cuman malam jam tidak pernah gin daerah rumah cuman rumah ganggu air informasi jelas solusi;Lainnya;Air Tidak Mengalir;0.03012253685094619
Telat nyimak...coba tau drtd dah Menuhin air min:pensive_face:;lambat nyimak coba dari tadi deh isi air admin;Lainnya;Air Tidak Mengalir;0.0
jadi kapan nyala air nya??? bak mandi dah kosong;air nya bak mandi deh kosong;Lainnya;Air Tidak Mengalir;0.0
Kapan yaa seleaainya airnya loo udah gak ada samsek di rumah;selesai air loh tidak sama sekali rumah;Lainnya;Air Tidak Mengalir;0.0
duh gk ada air:crying_face:;aduh ga air;Lainnya;Air Tidak Mengalir;0.0
Sampe sekarang masih belum nyala juga untuk area Rungkut permai :clapping_hands:;area rungkut permai;Lainnya;Air Tidak Mengalir;0.0
Air bak mandi habis ... Kapan ya selesai ?;air bak mandi habis selesai;Lainnya;Air Tidak Mengalir;0.0
Ayo kpn nyala gunung anyar;ayo gunung anyar;Lainnya;Air Tidak Mengalir;0.0
Sampai sekarang belum nyala airnya min.. :crying_face:;air admin;Lainnya;Air Tidak Mengalir;0.0
Apa masih belum selesai minn krn belum nyala sampe sekarang:crying_face:;selesai admin;Lainnya;Air Tidak Mengalir;0.0
Gunung anyar belum nyala min;gunung anyar admin;Lainnya;Air Tidak Mengalir;0.0
Gada aer;gaada air;Lainnya;Air Tidak Mengalir;0.0
Min kenapa udah 4harian kok air tidak bisa naek ke torn atas ya? Apakah lg ada perbaikan kayak kapan hari?;admin hari air tidak torrent baik kayak;Lainnya;Air Tidak Mengalir;0.0
Pdam tolong ya perumahan kencana residence kalilom lor indah,klo siang airnya tdk pernah nyala,malam nyala di atas jam 9 tp ini tdk nyala,gimana mau kerjaa,saya sdh tahan2 dr lama ini;pdam rumah kencana residence kalilom lor indah kalau siang air tidak hidup malam jam tidak hidup gimana kerjaasaya tahan;Lainnya;Air Tidak Mengalir;0.0
Pak air di kodam mati,kate sholat bingung g onok banyu;air kodam mati ingin sholat bingung ga air;Lainnya;Air Tidak Mengalir;0.047966250046987034
So far bad experience, air mati sebelum masuk meteran tetapi tidak ada penanganan yang baik dari pihak PDAM, pelaporan hanya cmn bertugas melapor tanpa ada konfirmasi pengerjaan yg jelas, laporan setelah tinjau pun tidak akurat, kacau;buruk alam air mati masuk meter tidak tangan pdam lapor cuman tugas lapor konfirmasi kerja lapor tinjau tidak akurat kacau;Lainnya;Air Tidak Mengalir;0.03374865095473459
PDAM Kebraon kumat maneh iki lhoo. Gatau nggawe pengumuman blasss. Heran;pdam kebraon kambuh loh ga pernah pakai umum sama sekali heran;Lainnya;Air Tidak Mengalir;0.0
Halo kak, kebraon sek suwe ta murupe? Gaonok info blas moro2 mati rek;halo kakak kebraon suwe ta gaada informasi sama sekali mati kawan;Lainnya;Air Tidak Mengalir;0.04021756884711451
AIR PDAM kebraon mati tapi gak ada info sama sekali,kacau ini jam aktivitas kerja dan sekolah loh ini;air pdam kebraon mati tidak informasi sekali kacau jam aktivitas kerja sekolah loh;Lainnya;Air Tidak Mengalir;0.04304080957639216
Tolong ditindaklanjuti ya min @pdamsuryasembada . Air di kebraon mati dari sesudah subuh. Orang mau berangkat kerja jadi ga bisa mandi nih. Terima kasih:folded_hands:;ditindaklanjuti admin air kebraon mati subuh berangkat kerja ga mandi terima kasih;Lainnya;Air Tidak Mengalir;0.046114342433602955
Kapan murupe Iki banyune min daerah Kemlaten? @pdamsuryasembada;air admin daerah kemlaten;Lainnya;Air Tidak Mengalir;0.0
Dari tadi di kolom komen estimasi 1 jam slesai tp smpek jam set 12 belom nyala nih air HMMM;kolom komen estimasi jam selesai jam set air;Lainnya;Air Tidak Mengalir;0.0
Terpantau di Sumberan balas klumprik masih belom nyala ya min :sweat_droplets:...;pantau sumber balas klumprik admin;Lainnya;Air Tidak Mengalir;0.0
Sumberan bongko banyumu,cak @pdamsuryasembada;sumber banyumucak;Lainnya;Air Tidak Mengalir;0.0
Ayoo pak Ndak dinyalakan air Kebraon , Iki akeh aktifitas pak;ayo tidak nyala air kebraon aktivitas;Lainnya;Air Tidak Mengalir;0.0
Jedengku Pesing...gak iso di gebyur...sampai Saiki area balasklumprik jek mati banyune;kamar mandi ku pesing ga siram sampai area balasklumprik mati air;Lainnya;Air Tidak Mengalir;0.03859280798120292
Kebraon PDAM e mati bos. Iki jam kerjo. Mosok budal kerjo gag adus;kebraon pdam nya mati bos jam kerja berangkat kerja tidak mandi;Lainnya;Air Tidak Mengalir;0.045574894855444234
Daan tdk diinfo sama sekali. Pas km mandi waktu nguras pagi,pas air mati;tidak info pas mandi kuras pagi pas air mati;Lainnya;Air Tidak Mengalir;0.04110265877675194
