post_shortcode;final_data;kalimat
DFKccJJPeW_;pasang tidak lanjut survey kata komplain layan langgan whatsapp sedang whatsapp tidak tanggap;['kata', 'komplain', 'sedang', 'survey', 'tanggap', 'tidak', 'whatsapp']
DFKccJJPeW_;komplain biasa an aduh serba bayar kan ga percaya perintah;['aduh', 'an', 'bayar', 'biasa', 'ga', 'kan', 'komplain', 'perintah']
DFKccJJPeW_;admin keran pdam rusak adu ke siapa;['adu', 'ke', 'keran', 'rusak']
DFKccJJPeW_;denda pdam lambat kalah pinjol parah;['denda', 'kalah', 'lambat', 'parah', 'pinjol']
DFKccJJPeW_;air pagi jam sore mati;['jam', 'mati', 'pagi', 'sore']
DFKccJJPeW_;si hubung layan adu hampir minggu tidak tindak;['adu', 'hampir', 'hubung', 'layan', 'minggu', 'si', 'tindak']
DFKccJJPeW_;air pdam daerah jemurwonosari pagi mati sore keluar kecil kotor cek;['cek', 'jemurwonosari', 'kecil', 'keluar', 'kotor', 'pagi', 'sore']
DFKccJJPeW_;tenggumung wetan gang garuda mati tindak lanjut;['dukuh', 'guna', 'kata', 'lurah', 'meter', 'pdam', 'remaja', 'resmi', 'rumah', 'tanggal', 'tugas']
DFKccJJPeW_;pdam tidak keluar air setro utara;['pdam']
DFKccJJPeW_;tugas pdam rumah tidak guna seragam resmi pdam kata remaja meter lurah dukuh tanggal;['air', 'alir', 'malam']
DFKccJJPeW_;pdam;['barusan', 'cek', 'daerah', 'jam', 'kebraon', 'lapang', 'tugas']
DFKccJJPeW_;halo kak selamat malam maaf ganggu keluh kait alir air pdam wilayah daerah putih makam blk nya air alir malam pagi hingga sore tidak alir air sulit aktivitas rumah tangga tekan air masuk rumah kecil lupa tutup katup pipa air tandon sedot habis duga sistem distribusi air lingkung guna skema seri bukan paralel sebab alir air tidak stabil tidak sedia jam;['setro', 'utara']
DFKccJJPeW_;barusan jam air mati daerah kebraon tugas cek lapang;['air', 'cek', 'daerah', 'kasih', 'kotor', 'maaf', 'surabaya', 'tandon', 'terima', 'wiyung']
