comment_text;final_data;predicted_aspect;similarity_score
Pemasangan baru tidak ada kelanjutan setelah survey.katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….;pasang tidak lanjut survey kata komplain layan langgan whatsapp sedang whatsapp tidak tanggap;Pelayanan;0.2518858275524147
Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:;komplain biasa an aduh serba bayar kan ga percaya perintah;Harga;0.04752840415723445
Min kalau puteran PDAM dol itu sya ngadu kesiapa ya;admin keran pdam rusak adu ke siapa;Pelayanan;0.11440105237654503
Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh;denda pdam lambat kalah pinjol parah;Harga;0.17194849029831838
Air ya klo pagi dan jam 3 sore kenapa selalu mati;air pagi jam sore mati;Air Kotor/Bau;0.0
gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!;si hubung layan adu hampir minggu tidak tindak;Pelayanan;0.1945875748548836
Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek;air pdam daerah jemurwonosari pagi mati sore keluar kecil kotor cek;Air Tidak Mengalir;0.12408164433818966
Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..;tenggumung wetan gang garuda mati tindak lanjut;Pelayanan;0.09459571611279365
PDAM tidak keluar air setro baru Utara 9;pdam tidak keluar air setro utara;Kebocoran;0.10728976629097398
Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal;tugas pdam rumah tidak guna seragam resmi pdam kata remaja meter lurah dukuh tanggal;Meteran (Macet/Bermasalah);0.060963659515706564
Pdam naik melulu ya?;pdam;Air Kotor/Bau;0.0
Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, sedangkan dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.;halo kak selamat malam maaf ganggu keluh kait alir air pdam wilayah daerah putih makam blk nya air alir malam pagi hingga sore tidak alir air sulit aktivitas rumah tangga tekan air masuk rumah kecil lupa tutup katup pipa air tandon sedot habis duga sistem distribusi air lingkung guna skema seri bukan paralel sebab alir air tidak stabil tidak sedia jam;Air Tidak Mengalir;0.15575510611074855
Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada;barusan jam air mati daerah kebraon tugas cek lapang;Air Kotor/Bau;0.0
Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9;cek setro utara air kecil tandon tidak isi tindak lanjut terimakasih setro utara;Pelayanan;0.06617091768722129
Maaf ni mau tanya kalau air pdam daerah surabaya wiyung kotor sminggu lebih. Tolong di cek kondisi tandon atau stok air. Trimakasih;maaf air pdam daerah surabaya wiyung kotor sminggu cek tandon stok air terima kasih;Air Kotor/Bau;0.09162128139752332
Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?;halo pakai m tagih m kak;Harga;0.13302770769265002
@pdamsuryasembada_ kenapa air d Kalijudan mati hari ini sampai sekarang blm klwr;air kalijudan mati keluar;Kebocoran;0.1346351886044138
Laporan ke PDAM tambah dikasih nomer pencatat meter...ditelp gaknisanwoi. Piye Iki tagihan ku gak sesuai meteran ....fast respon dong;lapor pdam kasih nomor catat meter di telepon ga bisa woi tagih ku tidak meter cepat respon;Meteran (Macet/Bermasalah);0.0849679436867187
Petugas yg dtg ada bbrpa, jd bingung;tugas bbrpa bingung;Air Kotor/Bau;0.0
Biasanya petugas pdam sdh ijin rt dan petugas keamanan;tugas pdam ijin tugas aman;Air Kotor/Bau;0.0
"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya";pdam tarif golong ubah tetangga tarif golong nya kos rumah pribadi ga salur air tetangga rumah ga malah loh pintu tulis keluarga miskin perintah gara gara tarif pdam bulan ngirit pakai air nya;Harga;0.12197444947492202
Air pdam makin hari makin kotor sekali.... Apa nggak d treatment? Masak perusahaan daerah air minum jangankan air nya di minum.... Mau mandi aja nggak layak.... Sudah dpasang filter 1 micron pun nggak ada hasil:crying_face:;air pdam kotor tidak treatment masak usaha daerah air minum jangan air nya minum mandi tidak layak dpasang filter micron tidak hasil;Air Kotor/Bau;0.06223580569751222
Sakben maghrib banyune buko makane g mancur?? Opo sanyomu rusak gak kuat nyemprot sampek kapas gading madya?;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;Meteran (Macet/Bermasalah);0.018746986030835158
ngajuin surat keberatan tagihan dari bulan januari sampe sekarang gak ada tanggapan. tagihan naik gara2 meter pdam yg rusak, malah pelanggan yang harus bayar kelebihan tagihannya. sekelas perusahaan daerah koq gak profesional gini;ngajuin surat berat tagih januari tidak tanggap tagih gara meter pdam rusak langgan bayar lebih tagih kelas usaha daerah tidak profesional gin;Harga;0.16937387745157562
2 bulan tagihan air kenapa melonjak ya;tagih air lonjak;Harga;0.15557050440062617
Dari pagi tadi air nggak keluar.. parah parah;pagi air tidak keluar parah parah;Kebocoran;0.07762099982434958
