,name
0,grinning face
1,grinning face with big eyes
2,grinning face with smiling eyes
3,beaming face with smiling eyes
4,grinning squinting face
5,grinning face with sweat
6,rolling on the floor laughing
7,face with tears of joy
8,slightly smiling face
9,upside-down face
10,winking face
11,smiling face with smiling eyes
12,smiling face with halo
13,smiling face with hearts
14,smiling face with heart-eyes
15,star-struck
16,face blowing a kiss
17,kissing face
18,smiling face
19,kissing face with closed eyes
20,kissing face with smiling eyes
21,smiling face with tear
22,face savoring food
23,face with tongue
24,winking face with tongue
25,zany face
26,squinting face with tongue
27,money-mouth face
28,hugging face
29,face with hand over mouth
30,shushing face
31,thinking face
32,zipper-mouth face
33,face with raised eyebrow
34,neutral face
35,expressionless face
36,face without mouth
37,⊛ face in clouds
38,smirking face
39,unamused face
40,face with rolling eyes
41,grimacing face
42,⊛ face exhaling
43,lying face
44,relieved face
45,pensive face
46,sleepy face
47,drooling face
48,sleeping face
49,face with medical mask
50,face with thermometer
51,face with head-bandage
52,nauseated face
53,face vomiting
54,sneezing face
55,hot face
56,cold face
57,woozy face
58,knocked-out face
59,⊛ face with spiral eyes
60,exploding head
61,cowboy hat face
62,partying face
63,disguised face
64,smiling face with sunglasses
65,nerd face
66,face with monocle
67,confused face
68,worried face
69,slightly frowning face
70,frowning face
71,face with open mouth
72,hushed face
73,astonished face
74,flushed face
75,pleading face
76,frowning face with open mouth
77,anguished face
78,fearful face
79,anxious face with sweat
80,sad but relieved face
81,crying face
82,loudly crying face
83,face screaming in fear
84,confounded face
85,persevering face
86,disappointed face
87,downcast face with sweat
88,weary face
89,tired face
90,yawning face
91,face with steam from nose
92,pouting face
93,angry face
94,face with symbols on mouth
95,smiling face with horns
96,angry face with horns
97,skull
98,skull and crossbones
99,pile of poo
100,clown face
101,ogre
102,goblin
103,ghost
104,alien
105,alien monster
106,robot
107,grinning cat
108,grinning cat with smiling eyes
109,cat with tears of joy
110,smiling cat with heart-eyes
111,cat with wry smile
112,kissing cat
113,weary cat
114,crying cat
115,pouting cat
116,see-no-evil monkey
117,hear-no-evil monkey
118,speak-no-evil monkey
119,kiss mark
120,love letter
121,heart with arrow
122,heart with ribbon
123,sparkling heart
124,growing heart
125,beating heart
126,revolving hearts
127,two hearts
128,heart decoration
129,heart exclamation
130,broken heart
131,⊛ heart on fire
132,⊛ mending heart
133,red heart
134,orange heart
135,yellow heart
136,green heart
137,blue heart
138,purple heart
139,brown heart
140,black heart
141,white heart
142,hundred points
143,anger symbol
144,collision
145,dizzy
146,sweat droplets
147,dashing away
148,hole
149,bomb
150,speech balloon
151,eye in speech bubble
152,left speech bubble
153,right anger bubble
154,thought balloon
155,zzz
156,waving hand
157,raised back of hand
158,hand with fingers splayed
159,raised hand
160,vulcan salute
161,OK hand
162,pinched fingers
163,pinching hand
164,victory hand
165,crossed fingers
166,love-you gesture
167,sign of the horns
168,call me hand
169,backhand index pointing left
170,backhand index pointing right
171,backhand index pointing up
172,middle finger
173,backhand index pointing down
174,index pointing up
175,thumbs up
176,thumbs down
177,raised fist
178,oncoming fist
179,left-facing fist
180,right-facing fist
181,clapping hands
182,raising hands
183,open hands
184,palms up together
185,handshake
186,folded hands
187,writing hand
188,nail polish
189,selfie
190,flexed biceps
191,mechanical arm
192,mechanical leg
193,leg
194,foot
195,ear
196,ear with hearing aid
197,nose
198,brain
199,anatomical heart
200,lungs
201,tooth
202,bone
203,eyes
204,eye
205,tongue
206,mouth
207,baby
208,child
209,boy
210,girl
211,person
212,person: blond hair
213,man
214,person: beard
215,⊛ man: beard
216,⊛ woman: beard
217,man: red hair
218,man: curly hair
219,man: white hair
220,man: bald
221,woman
222,woman: red hair
223,person: red hair
224,woman: curly hair
225,person: curly hair
226,woman: white hair
227,person: white hair
228,woman: bald
229,person: bald
230,woman: blond hair
231,man: blond hair
232,older person
233,old man
234,old woman
235,person frowning
236,man frowning
237,woman frowning
238,person pouting
239,man pouting
240,woman pouting
241,person gesturing NO
242,man gesturing NO
243,woman gesturing NO
244,person gesturing OK
245,man gesturing OK
246,woman gesturing OK
247,person tipping hand
248,man tipping hand
249,woman tipping hand
250,person raising hand
251,man raising hand
252,woman raising hand
253,deaf person
254,deaf man
255,deaf woman
256,person bowing
257,man bowing
258,woman bowing
259,person facepalming
260,man facepalming
261,woman facepalming
262,person shrugging
263,man shrugging
264,woman shrugging
265,health worker
266,man health worker
267,woman health worker
268,student
269,man student
270,woman student
271,teacher
272,man teacher
273,woman teacher
274,judge
275,man judge
276,woman judge
277,farmer
278,man farmer
279,woman farmer
280,cook
281,man cook
282,woman cook
283,mechanic
284,man mechanic
285,woman mechanic
286,factory worker
287,man factory worker
288,woman factory worker
289,office worker
290,man office worker
291,woman office worker
292,scientist
293,man scientist
294,woman scientist
295,technologist
296,man technologist
297,woman technologist
298,singer
299,man singer
300,woman singer
301,artist
302,man artist
303,woman artist
304,pilot
305,man pilot
306,woman pilot
307,astronaut
308,man astronaut
309,woman astronaut
310,firefighter
311,man firefighter
312,woman firefighter
313,police officer
314,man police officer
315,woman police officer
316,detective
317,man detective
318,woman detective
319,guard
320,man guard
321,woman guard
322,ninja
323,construction worker
324,man construction worker
325,woman construction worker
326,prince
327,princess
328,person wearing turban
329,man wearing turban
330,woman wearing turban
331,person with skullcap
332,woman with headscarf
333,person in tuxedo
334,man in tuxedo
335,woman in tuxedo
336,person with veil
337,man with veil
338,woman with veil
339,pregnant woman
340,breast-feeding
341,woman feeding baby
342,man feeding baby
343,person feeding baby
344,baby angel
345,Santa Claus
346,Mrs. Claus
347,mx claus
348,superhero
349,man superhero
350,woman superhero
351,supervillain
352,man supervillain
353,woman supervillain
354,mage
355,man mage
356,woman mage
357,fairy
358,man fairy
359,woman fairy
360,vampire
361,man vampire
362,woman vampire
363,merperson
364,merman
365,mermaid
366,elf
367,man elf
368,woman elf
369,genie
370,man genie
371,woman genie
372,zombie
373,man zombie
374,woman zombie
375,person getting massage
376,man getting massage
377,woman getting massage
378,person getting haircut
379,man getting haircut
380,woman getting haircut
381,person walking
382,man walking
383,woman walking
384,person standing
385,man standing
386,woman standing
387,person kneeling
388,man kneeling
389,woman kneeling
390,person with white cane
391,man with white cane
392,woman with white cane
393,person in motorized wheelchair
394,man in motorized wheelchair
395,woman in motorized wheelchair
396,person in manual wheelchair
397,man in manual wheelchair
398,woman in manual wheelchair
399,person running
400,man running
401,woman running
402,woman dancing
403,man dancing
404,person in suit levitating
405,people with bunny ears
406,men with bunny ears
407,women with bunny ears
408,person in steamy room
409,man in steamy room
410,woman in steamy room
411,person climbing
412,man climbing
413,woman climbing
414,person fencing
415,horse racing
416,skier
417,snowboarder
418,person golfing
419,man golfing
420,woman golfing
421,person surfing
422,man surfing
423,woman surfing
424,person rowing boat
425,man rowing boat
426,woman rowing boat
427,person swimming
428,man swimming
429,woman swimming
430,person bouncing ball
431,man bouncing ball
432,woman bouncing ball
433,person lifting weights
434,man lifting weights
435,woman lifting weights
436,person biking
437,man biking
438,woman biking
439,person mountain biking
440,man mountain biking
441,woman mountain biking
442,person cartwheeling
443,man cartwheeling
444,woman cartwheeling
445,people wrestling
446,men wrestling
447,women wrestling
448,person playing water polo
449,man playing water polo
450,woman playing water polo
451,person playing handball
452,man playing handball
453,woman playing handball
454,person juggling
455,man juggling
456,woman juggling
457,person in lotus position
458,man in lotus position
459,woman in lotus position
460,person taking bath
461,person in bed
462,people holding hands
463,women holding hands
464,woman and man holding hands
465,men holding hands
466,kiss
467,"kiss: woman, man"
468,"kiss: man, man"
469,"kiss: woman, woman"
470,couple with heart
471,"couple with heart: woman, man"
472,"couple with heart: man, man"
473,"couple with heart: woman, woman"
474,family
475,"family: man, woman, boy"
476,"family: man, woman, girl"
477,"family: man, woman, girl, boy"
478,"family: man, woman, boy, boy"
479,"family: man, woman, girl, girl"
480,"family: man, man, boy"
481,"family: man, man, girl"
482,"family: man, man, girl, boy"
483,"family: man, man, boy, boy"
484,"family: man, man, girl, girl"
485,"family: woman, woman, boy"
486,"family: woman, woman, girl"
487,"family: woman, woman, girl, boy"
488,"family: woman, woman, boy, boy"
489,"family: woman, woman, girl, girl"
490,"family: man, boy"
491,"family: man, boy, boy"
492,"family: man, girl"
493,"family: man, girl, boy"
494,"family: man, girl, girl"
495,"family: woman, boy"
496,"family: woman, boy, boy"
497,"family: woman, girl"
498,"family: woman, girl, boy"
499,"family: woman, girl, girl"
500,speaking head
501,bust in silhouette
502,busts in silhouette
503,people hugging
504,footprints
505,red hair
506,curly hair
507,white hair
508,bald
509,monkey face
510,monkey
511,gorilla
512,orangutan
513,dog face
514,dog
515,guide dog
516,service dog
517,poodle
518,wolf
519,fox
520,raccoon
521,cat face
522,cat
523,black cat
524,lion
525,tiger face
526,tiger
527,leopard
