word,frequency
air,1376
pdam,834
tidak,832
admin,742
meter,648
ada,630
sudah,510
mati,370
rumah,324
nya,300
sampai,290
keluar,280
tagih,270
tapi,262
daerah,256
kasih,248
pasang,246
bayar,246
mohon,238
terima,232
belum,212
ga,186
pakai,186
layan,182
karena,178
alir,164
sekarang,164
surabaya,162
tarif,158
ganti,154
kecil,152
kerja,150
informasi,148
baik,146
jam,144
padahal,144
hidup,142
bocor,136
kakak,136
pagi,134
kapan,128
tugas,126
naik,120
masyarakat,120
malam,118
lebih,114
cek,112
dalam,110
pipa,110
keruh,108
langgan,106
kota,102
jalan,100
selalu,100
catat,98
ubah,96
daftar,96
apresiasi,92
banyak,92
tanggal,92
lapor,92
cepat,92
kebraon,90
lama,90
biaya,84
harus,84
moga,82
selamat,82
tindak,80
warga,80
kode,80
bersih,76
lalu,76
maaf,76
masuk,74
halo,72
hands,72
keran,72
with,70
skin,70
tone,70
lancar,70
respon,70
pesan,66
kena,66
datang,64
face,64
m,62
terang,62
smiling,62
bantu,62
putar,60
aplikasi,60
alhamdulillah,60
keluh,60
semangat,60
kali,58
mandi,58
folded,56
adu,56
siang,56
januari,56
selesai,54
surya,54
rusak,54
lanjut,52
angka,52
wilayah,52
kira,52
sembada,52
listrik,52
tetap,52
area,50
heart,50
normal,50
minum,48
kotor,48
whatsapp,48
lurah,46
keren,46
telepon,46
bukan,46
jelas,44
laku,42
bulan,42
promo,42
usaha,42
surat,42
tanggap,40
golong,40
harga,40
kualitas,40
survey,38
kantor,38
pemberitahuan,38
sore,38
gunung,38
tetangga,38
aju,38
an,36
buka,36
dampak,36
suruh,36
sehat,36
mantap,36
beri,36
nomor,36
isi,34
akan,34
proses,34
diskon,34
salah,34
februari,34
tirta,34
info,34
macet,34
sukses,34
tandon,34
online,34
a,32
tetapi,32
harap,32
ganggu,32
baca,32
kata,32
nyala,32
pompa,30
bengkak,30
tunggu,30
habis,30
x,30
lihat,30
sedang,30
tanah,30
hari,30
mahal,30
benar,28
