comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score,true_sentiment,final_sentiment_score,final_sentiment_normalized,final_sentiment_label,type
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,pemasangan tidak ada kelanjutan survey .,"['pemasangan', 'tidak', 'ada', 'kelanjutan', 'survey', '.']",pasang tidak ada lanjut survey .,Pemasangan,Pemasangan,0.5259010291312419,Negatif,-2,-1,Negatif,
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,padahal katanya komplain cs whatsapp .,"['padahal', 'katanya', 'komplain', 'cs', 'whatsapp', '.']",padahal kata komplain cs whatsapp .,Pelayanan,Pelayanan,0.45841484164763935,Negatif,-1,-1,Negatif,
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,sedangkan whatsapp tidak ada tanggapan .,"['sedangkan', 'whatsapp', 'tidak', 'ada', 'tanggapan', '.']",sedang whatsapp tidak ada tanggap .,Pelayanan,Pelayanan,0.4386967435440572,Negatif,-1,-1,Negatif,
13,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.","karena sistem distribusi air lingkungan menggunakan skema seri , bukan paralel . menyebabkan aliran air tidak stabil tidak tersedia jam .","['karena', 'sistem', 'distribusi', 'air', 'lingkungan', 'menggunakan', 'skema', 'seri', ',', 'bukan', 'paralel', '.', 'menyebabkan', 'aliran', 'air', 'tidak', 'stabil', 'tidak', 'tersedia', 'jam', '.']","karena sistem distribusi air lingkung guna skema seri , bukan paralel . sebab alir air tidak stabil tidak sedia jam .",Lainnya,Lainnya,0.3267455944567169,Negatif,-6,-1,Negatif,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",pdam tarif golongan . berubah .,"['pdam', 'tarif', 'golongan', '.', 'berubah', '.']",pdam tarif golong . ubah .,Perubahan Kode Tarif,Perubahan Kode Tarif,0.4445318618832826,Netral,0,0,Netral,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal tetangga tarif golongan nya . ada,"['padahal', 'tetangga', 'tarif', 'golongan', 'nya', '.', 'ada']",padahal tetangga tarif golong nya . ada,Harga,Harga,0.40480506563244695,Netral,0,0,Netral,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",tapi kos,"['tapi', 'kos']",tapi kos,Lainnya,Lainnya,0.676200480401745,Netral,0,0,Netral,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . pengaduan pm .","['karena', 'meter', 'rumah', 'macet', 'rusak', ',', 'tanggal', 'januari', 'sampai', 'sekarang', 'belum', 'ada', 'tindak', '.', 'pengaduan', 'pm', '.']","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . adu pm .",Pelayanan,Air Tidak Mengalir,0.42945430706388676,Negatif,-2,-1,Negatif,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","padahal sudah lapor meter macet rusak ,","['padahal', 'sudah', 'lapor', 'meter', 'macet', 'rusak', ',']","padahal sudah lapor meter macet rusak ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.571668552625513,Negatif,-3,-1,Negatif,
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih",karena petugas keliling meter bilang,"['karena', 'petugas', 'keliling', 'meter', 'bilang']",karena tugas keliling meter bilang,Lainnya,Lainnya,0.3344005339952767,Netral,0,0,Netral,
