comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score,true_sentiment,final_sentiment_score,final_sentiment_normalized,final_sentiment_label,type
13,"Halo Kak selamat malam, maaf mengganggu waktunya, saya ingin menyampaikan keluhan terkait aliran air PDAM di wilayah tempat tinggal saya di daerah keputih makam Blk. E1. Sudah cukup lama air hanya mengalir pada malam hari, sekitar pukul 23.00 ke atas, dari pagi hingga sore hari sama sekali tidak ada aliran air. Hal ini tentu sangat menyulitkan aktivitas rumah tangga kami. Selain itu, tekanan air yang masuk ke rumah sangat kecil. Bahkan jika saya lupa menutup valve pipa, air di tandon bisa tersedot habis, diduga karena sistem distribusi air di lingkungan kami menggunakan skema seri, bukan paralel. Ini menyebabkan aliran air tidak stabil dan tidak tersedia selama 24 jam.","halo kakak selamat malam , maaf mengganggu , keluhan terkait aliran air pdam wilayah daerah keputih makam blok . . sudah lama air mengalir malam , . , pagi hingga sore tidak ada aliran air . menyulitkan aktivitas rumah tangga . , tekanan air masuk rumah kecil . lupa menutup katup pipa , air tandon tersedot habis , duga","['halo', 'kakak', 'selamat', 'malam', ',', 'maaf', 'mengganggu', ',', 'keluhan', 'terkait', 'aliran', 'air', 'pdam', 'wilayah', 'daerah', 'keputih', 'makam', 'blok', '.', '.', 'sudah', 'lama', 'air', 'mengalir', 'malam', ',', '.', ',', 'pagi', 'hingga', 'sore', 'tidak', 'ada', 'aliran', 'air', '.', 'menyulitkan', 'aktivitas', 'rumah', 'tangga', '.', ',', 'tekanan', 'air', 'masuk', 'rumah', 'kecil', '.', 'lupa', 'menutup', 'katup', 'pipa', ',', 'air', 'tandon', 'tersedot', 'habis', ',', 'duga']","halo kakak selamat malam , maaf ganggu , keluh kait alir air pdam wilayah daerah putih makam blok . . sudah lama air alir malam , . , pagi hingga sore tidak ada alir air . sulit aktivitas rumah tangga . , tekan air masuk rumah kecil . lupa tutup katup pipa , air tandon sedot habis , duga",Air Tidak Mengalir,Air Tidak Mengalir,0.3202634968395263,Netral,-7,-1,Negatif,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",sedangkan rumah pribadi ga menyalurkan air tetangga rumah ga malahan ada loh pintu` tulisan keluarga miskin pemerintah gara gara tarif pdam banyak,"['sedangkan', 'rumah', 'pribadi', 'ga', 'menyalurkan', 'air', 'tetangga', 'rumah', 'ga', 'malahan', 'ada', 'loh', 'pintu', '`', 'tulisan', 'keluarga', 'miskin', 'pemerintah', 'gara', 'gara', 'tarif', 'pdam', 'banyak']",sedang rumah pribadi ga salur air tetangga rumah ga malah ada loh pintu  tulis keluarga miskin perintah gara gara tarif pdam banyak,Harga,Lainnya,0.2706172403763609,Netral,-5,-1,Negatif,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal sampai irit pakai air nya,"['padahal', 'sampai', 'irit', 'pakai', 'air', 'nya']",padahal sampai irit pakai air nya,Pemakaian,Pelayanan,1.0,Netral,-1,-1,Negatif,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","sudah mengajukan pergantian meter ,","['sudah', 'mengajukan', 'pergantian', 'meter', ',']","sudah aju ganti meter ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.5670661453831103,Negatif,0,0,Netral,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",lalu tagihan januari meter,"['lalu', 'tagihan', 'januari', 'meter']",lalu tagih januari meter,Harga,Harga,0.4742343226367388,Negatif,0,0,Netral,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",tapi tagihan februari meter awal meter .,"['tapi', 'tagihan', 'februari', 'meter', 'awal', 'meter', '.']",tapi tagih februari meter awal meter .,Harga,Harga,0.6139119374192255,Negatif,0,0,Netral,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH",tapi catatan meter diubah ubah,"['tapi', 'catatan', 'meter', 'diubah', 'ubah']",tapi catat meter ubah ubah,Meteran (Macet/Bermasalah),Lainnya,0.7199891951491356,Negatif,0,0,Netral,
41,"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????","halo kakak , sudah komplain disini , sudah melaporkan meter rusak tanggal januari , petugas lapangan datang cek meter .","['halo', 'kakak', ',', 'sudah', 'komplain', 'disini', ',', 'sudah', 'melaporkan', 'meter', 'rusak', 'tanggal', 'januari', ',', 'petugas', 'lapangan', 'datang', 'cek', 'meter', '.']","halo kakak , sudah komplain sini , sudah lapor meter rusak tanggal januari , tugas lapang datang cek meter .",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.3616660603755094,Netral,-3,-1,Negatif,
41,"Halo kak, saya sudah pernah komplain disini, saya sudah melaporkan meteran rusak per tanggal 23 Januari 2025, petugas lapangan datang 2X untuk mengecek meteran. TAPI SAMPAI SEKARANG BELUM ADA PENGGANTIAN?????",tapi sampai sekarang belum ada pergantian ?,"['tapi', 'sampai', 'sekarang', 'belum', 'ada', 'pergantian', '?']",tapi sampai sekarang belum ada ganti ?,Pelayanan,Pelayanan,0.6499972001949488,Netral,-3,-1,Negatif,
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","pelanggan an . pulo wonokromo wetan golongan . tarif berubah . sekarang berubah . golongan . tarif berubah . sekarang berubah . sudah lama berubah ,","['pelanggan', 'an', '.', 'pulo', 'wonokromo', 'wetan', 'golongan', '.', 'tarif', 'berubah', '.', 'sekarang', 'berubah', '.', 'golongan', '.', 'tarif', 'berubah', '.', 'sekarang', 'berubah', '.', 'sudah', 'lama', 'berubah', ',']","langgan an . pulo wonokromo wetan golong . tarif ubah . sekarang ubah . golong . tarif ubah . sekarang ubah . sudah lama ubah ,",Perubahan Kode Tarif,Lainnya,0.6487664125887342,Netral,-3,-1,Negatif,
