comment_id,comment_text,true_sentiment,type,cleaned_text
1,Pemasangan baru tidak ada kelanjutan setelah survey. Padahal katanya bisa komplain cs lewat wa.sedangkan di wa gak ada tanggapan….,Negatif,Pernyataan,pemasangan baru tidak ada kelanjutan setelah survey .  padahal katanya bisa komplain cs lewat wa . sedangkan di wa gak ada tanggapan  . 
2,Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:,Negatif,Pernyataan,sama naik semua ini juga komplen  .  biasanya cuma an sekrang an  .  duh semua serba membayar to jadi g percaya sama pemerintah begini
3,Min kalau puteran PDAM dol itu sya ngadu kesiapa ya,Negatif,Pertanyaan,min kalau puteran pdam dol itu sya ngadu kesiapa ya
4,Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh,Negatif,Pernyataan,denda pdam telat ngalahin pinjol k jadi k parahhh
5,Air ya klo pagi dan jam 3 sore kenapa selalu mati,Negatif,Pertanyaan,air ya klo pagi dan jam sore kenapa selalu mati
6,"gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!",Negatif,Pernyataan,"gimana si ,  udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut ! "
7,"Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek",Negatif,Pernyataan,"air pdam daerah jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil  ,  juga kotor tolong d cek"
9,Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..,Negatif,Pernyataan,pak tolong tenggumung wetan gang garuda mati udah hari ini  .  tolong di tindak lanjuti  . 
10,PDAM tidak keluar air setro baru Utara 9,Negatif,Pernyataan,pdam tidak keluar air setro baru utara
11,Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal,Netral,Pertanyaan,td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul ?  untuk kelurahan dukuh menanggal
12,Pdam naik melulu ya?,Netral,Pertanyaan,pdam naik melulu ya ? 
