comment_id,comment_text,segmented_text,tokens_segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score,true_sentiment,final_sentiment_score,final_sentiment_normalized,final_sentiment_label,type
4,Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh,denda pdam terlambat mengalahkan pinjol parah,"['denda', 'pdam', 'terlambat', 'mengalahkan', 'pinjol', 'parah']",denda pdam lambat kalah pinjol parah,Harga,Harga,1.0,Negatif,0,0,Netral,
17,"Halo, saya pakai cuma 4m3 setiap bulan, kenapa tagihan selalu 10m3 ya kak?","halo , pakai , tagihan selalu kakak ?","['halo', ',', 'pakai', ',', 'tagihan', 'selalu', 'kakak', '?']","halo , pakai , tagih selalu kakak ?",Harga,Harga,1.0000000000000002,Netral,1,1,Positif,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",sedangkan rumah pribadi ga menyalurkan air tetangga rumah ga besar malahan ada loh pintu` tulisan keluarga miskin pemerintah gara gara tarif pdam banyak,"['sedangkan', 'rumah', 'pribadi', 'ga', 'menyalurkan', 'air', 'tetangga', 'rumah', 'ga', 'besar', 'malahan', 'ada', 'loh', 'pintu', '`', 'tulisan', 'keluarga', 'miskin', 'pemerintah', 'gara', 'gara', 'tarif', 'pdam', 'banyak']",sedang rumah pribadi ga salur air tetangga rumah ga besar malah ada loh pintu  tulis keluarga miskin perintah gara gara tarif pdam banyak,Harga,Lainnya,0.2588905663644876,Netral,-5,-1,Negatif,
22,"Kenapa ya PDAM saya itu dulunya tarifnya gol 1.3 tiba-tiba berubah jadi 2.1 padahal tetangga saya semuanya tarif gol nya 1.3 ada yg seperti saya tapi itu punya kos sedangkan saya saja rumah pribadi dan GK menyalurkan air ke tetangga rumah saya juga GK besar malahan ada lho dipintunya tulisan ""keluarga miskin"" yg dari pemerintah gara-gara hal itu tarif PDAM saya menjadi banyak setiap bulannya padahal saya sampai ngirit pakai air nya",padahal sampai irit pakai air nya,"['padahal', 'sampai', 'irit', 'pakai', 'air', 'nya']",padahal sampai irit pakai air nya,Pemakaian,Pemakaian,0.47590807379645494,Netral,-1,-1,Negatif,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . pengaduan .","['karena', 'meter', 'rumah', 'macet', 'rusak', ',', 'tanggal', 'januari', 'sampai', 'sekarang', 'belum', 'ada', 'tindak', '.', 'pengaduan', '.']","karena meter rumah macet rusak , tanggal januari sampai sekarang belum ada tindak . adu .",Pelayanan,Air Tidak Mengalir,0.45085868293364045,Netral,-2,-1,Negatif,
40,"Saya sudah mengajukan penggantian meteran, karena meteran rumah yg saya tinggali macet/rusak, sejak tanggal 23 Januari 2025 dan sampai sekarang belum ada tindak lanjut. Dengan no pengaduan PM2025000000825. LALU TAGIHAN SAYA BULAN JANUARI METERAN AKHIR 136 TAPI DI TAGIHAN BULAN FEBRUARI METERAN AWAL 116 DAN METERAN AKHIR 136. PADAHAL SAYA SUDAH LAPOR METERAN SAYA MACET/RUSAK, TAPI MALAH CATATAN METERAN YG DIUBAH-UBAH","padahal sudah lapor meter macet rusak ,","['padahal', 'sudah', 'lapor', 'meter', 'macet', 'rusak', ',']","padahal sudah lapor meter macet rusak ,",Meteran (Macet/Bermasalah),Meteran (Macet/Bermasalah),0.5817598804637678,Netral,-3,-1,Negatif,
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih",karena petugas keliling meter bilang,"['karena', 'petugas', 'keliling', 'meter', 'bilang']",karena tugas keliling meter bilang,Pemakaian,Pemakaian,0.3376038498499513,Negatif,0,0,Netral,
43,"pak mau tanya no pelanggan 1032499 an Ny. Mustiani Wikanti Pulo Wonokromo Wetan 4 knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A knp gol. tarifny berubah yg awalnya 2.1 skrg berubah jadi 3.2A ini sebenarnya udah lama berubah, tapi saya baru diberitahu orang tua saya,. knp seenaknya merubah, ini memberatkan loh, alasan dirubah dulu krn petugas keliling meteran bilang krn rumah dibuat kost, alasan apa itu, saya harap kembalikan ke gol tarif 2.1 terima kasih","karena rumah kos , alasan , harap golongan tarif . terima kasih","['karena', 'rumah', 'kos', ',', 'alasan', ',', 'harap', 'golongan', 'tarif', '.', 'terima', 'kasih']","karena rumah kos , alas , harap golong tarif . terima kasih",Perubahan Kode Tarif,Perubahan Kode Tarif,0.6089313418117979,Negatif,2,1,Positif,
46,"Kak saya warga Dukuh Kupang, PDAM yg mengalir kecil sekali,  dulu ga seperti ini, semenjak pengerjaan gorong2 yg di depan kampus WK itu malah makin parah air mengalir nya, Tp tagihan tetep banyak",tapi tagihan tetap banyak,"['tapi', 'tagihan', 'tetap', 'banyak']",tapi tagih tetap banyak,Harga,Lainnya,0.4402424759869967,Negatif,1,1,Positif,
49,Kelurahan bulak tidak ada ya?,kelurahan bulak tidak ada ?,"['kelurahan', 'bulak', 'tidak', 'ada', '?']",lurah bulak tidak ada ?,Lainnya,Lainnya,1.0,Netral,-2,-1,Negatif,
