,name
0,grinning_face
1,grinning_face_with_big_eyes
2,grinning_face_with_smiling_eyes
3,beaming_face_with_smiling_eyes
4,grinning_squinting_face
5,grinning_face_with_sweat
6,rolling_on_the_floor_laughing
7,face_with_tears_of_joy
8,slightly_smiling_face
9,upside_down_face
10,winking_face
11,smiling_face_with_smiling_eyes
12,smiling_face_with_halo
13,smiling_face_with_hearts
14,smiling_face_with_heart_eyes
15,star_struck
16,face_blowing_a_kiss
17,kissing_face
18,smiling_face
19,kissing_face_with_closed_eyes
20,kissing_face_with_smiling_eyes
21,smiling_face_with_tear
22,face_savoring_food
23,face_with_tongue
24,winking_face_with_tongue
25,zany_face
26,squinting_face_with_tongue
27,money_mouth_face
28,hugging_face
29,face_with_hand_over_mouth
30,shushing_face
31,thinking_face
32,zipper_mouth_face
33,face_with_raised_eyebrow
34,neutral_face
35,expressionless_face
36,face_without_mouth
37,face_in_clouds
38,smirking_face
39,unamused_face
40,face_with_rolling_eyes
41,grimacing_face
42,face_exhaling
43,lying_face
44,relieved_face
45,pensive_face
46,sleepy_face
47,drooling_face
48,sleeping_face
49,face_with_medical_mask
50,face_with_thermometer
51,face_with_head_bandage
52,nauseated_face
53,face_vomiting
54,sneezing_face
55,hot_face
56,cold_face
57,woozy_face
58,knocked_out_face
59,face_with_spiral_eyes
60,exploding_head
61,cowboy_hat_face
62,partying_face
63,disguised_face
64,smiling_face_with_sunglasses
65,nerd_face
66,face_with_monocle
67,confused_face
68,worried_face
69,slightly_frowning_face
70,frowning_face
71,face_with_open_mouth
72,hushed_face
73,astonished_face
74,flushed_face
75,pleading_face
76,frowning_face_with_open_mouth
77,anguished_face
78,fearful_face
79,anxious_face_with_sweat
80,sad_but_relieved_face
81,crying_face
82,loudly_crying_face
83,face_screaming_in_fear
84,confounded_face
85,persevering_face
86,disappointed_face
87,downcast_face_with_sweat
88,weary_face
89,tired_face
90,yawning_face
91,face_with_steam_from_nose
92,pouting_face
93,angry_face
94,face_with_symbols_on_mouth
95,smiling_face_with_horns
96,angry_face_with_horns
97,skull
98,skull_and_crossbones
99,pile_of_poo
100,clown_face
101,ogre
102,goblin
103,ghost
104,alien
105,alien_monster
106,robot
107,grinning_cat
108,grinning_cat_with_smiling_eyes
109,cat_with_tears_of_joy
110,smiling_cat_with_heart_eyes
111,cat_with_wry_smile
112,kissing_cat
113,weary_cat
114,crying_cat
115,pouting_cat
116,see_no_evil_monkey
117,hear_no_evil_monkey
118,speak_no_evil_monkey
119,kiss_mark
120,love_letter
121,heart_with_arrow
122,heart_with_ribbon
123,sparkling_heart
124,growing_heart
125,beating_heart
126,revolving_hearts
127,two_hearts
128,heart_decoration
129,heart_exclamation
130,broken_heart
131,heart_on_fire
132,mending_heart
133,red_heart
134,orange_heart
135,yellow_heart
136,green_heart
137,blue_heart
138,purple_heart
139,brown_heart
140,black_heart
141,white_heart
142,hundred_points
143,anger_symbol
144,collision
145,dizzy
146,sweat_droplets
147,dashing_away
148,hole
149,bomb
150,speech_balloon
151,eye_in_speech_bubble
152,left_speech_bubble
153,right_anger_bubble
154,thought_balloon
155,zzz
156,waving_hand
157,raised_back_of_hand
158,hand_with_fingers_splayed
159,raised_hand
160,vulcan_salute
161,OK_hand
162,pinched_fingers
163,pinching_hand
164,victory_hand
165,crossed_fingers
166,love_you_gesture
167,sign_of_the_horns
168,call_me_hand
169,backhand_index_pointing_left
170,backhand_index_pointing_right
171,backhand_index_pointing_up
172,middle_finger
173,backhand_index_pointing_down
174,index_pointing_up
175,thumbs_up
176,thumbs_down
177,raised_fist
178,oncoming_fist
179,left_facing_fist
180,right_facing_fist
181,clapping_hands
182,raising_hands
183,open_hands
184,palms_up_together
185,handshake
186,folded_hands
187,writing_hand
188,nail_polish
189,selfie
190,flexed_biceps
191,mechanical_arm
192,mechanical_leg
193,leg
194,foot
195,ear
196,ear_with_hearing_aid
197,nose
198,brain
199,anatomical_heart
200,lungs
201,tooth
202,bone
203,eyes
204,eye
205,tongue
206,mouth
207,baby
208,child
209,boy
210,girl
211,person
212,person_blond_hair
213,man
214,person_beard
215,man_beard
216,woman_beard
217,man_red_hair
218,man_curly_hair
219,man_white_hair
220,man_bald
221,woman
222,woman_red_hair
223,person_red_hair
224,woman_curly_hair
225,person_curly_hair
226,woman_white_hair
227,person_white_hair
228,woman_bald
229,person_bald
230,woman_blond_hair
231,man_blond_hair
232,older_person
233,old_man
234,old_woman
235,person_frowning
236,man_frowning
237,woman_frowning
238,person_pouting
239,man_pouting
240,woman_pouting
241,person_gesturing_NO
242,man_gesturing_NO
243,woman_gesturing_NO
244,person_gesturing_OK
245,man_gesturing_OK
246,woman_gesturing_OK
247,person_tipping_hand
248,man_tipping_hand
249,woman_tipping_hand
250,person_raising_hand
251,man_raising_hand
252,woman_raising_hand
253,deaf_person
254,deaf_man
255,deaf_woman
256,person_bowing
257,man_bowing
258,woman_bowing
259,person_facepalming
260,man_facepalming
261,woman_facepalming
262,person_shrugging
263,man_shrugging
264,woman_shrugging
265,health_worker
266,man_health_worker
267,woman_health_worker
268,student
269,man_student
270,woman_student
271,teacher
272,man_teacher
273,woman_teacher
274,judge
275,man_judge
276,woman_judge
277,farmer
278,man_farmer
279,woman_farmer
280,cook
281,man_cook
282,woman_cook
283,mechanic
284,man_mechanic
285,woman_mechanic
286,factory_worker
287,man_factory_worker
288,woman_factory_worker
289,office_worker
290,man_office_worker
291,woman_office_worker
292,scientist
293,man_scientist
294,woman_scientist
295,technologist
296,man_technologist
297,woman_technologist
298,singer
299,man_singer
300,woman_singer
301,artist
302,man_artist
303,woman_artist
304,pilot
305,man_pilot
306,woman_pilot
307,astronaut
308,man_astronaut
309,woman_astronaut
310,firefighter
311,man_firefighter
312,woman_firefighter
313,police_officer
314,man_police_officer
315,woman_police_officer
316,detective
317,man_detective
318,woman_detective
319,guard
320,man_guard
321,woman_guard
322,ninja
323,construction_worker
324,man_construction_worker
325,woman_construction_worker
326,prince
327,princess
328,person_wearing_turban
329,man_wearing_turban
330,woman_wearing_turban
331,person_with_skullcap
332,woman_with_headscarf
333,person_in_tuxedo
334,man_in_tuxedo
335,woman_in_tuxedo
336,person_with_veil
337,man_with_veil
338,woman_with_veil
339,pregnant_woman
340,breast_feeding
341,woman_feeding_baby
342,man_feeding_baby
343,person_feeding_baby
344,baby_angel
345,Santa_Claus
346,Mrs._Claus
347,mx_claus
348,superhero
349,man_superhero
350,woman_superhero
351,supervillain
352,man_supervillain
353,woman_supervillain
354,mage
355,man_mage
356,woman_mage
357,fairy
358,man_fairy
359,woman_fairy
360,vampire
361,man_vampire
362,woman_vampire
363,merperson
364,merman
365,mermaid
366,elf
367,man_elf
368,woman_elf
369,genie
370,man_genie
371,woman_genie
372,zombie
373,man_zombie
374,woman_zombie
375,person_getting_massage
376,man_getting_massage
377,woman_getting_massage
378,person_getting_haircut
379,man_getting_haircut
380,woman_getting_haircut
381,person_walking
382,man_walking
383,woman_walking
384,person_standing
385,man_standing
386,woman_standing
387,person_kneeling
388,man_kneeling
389,woman_kneeling
390,person_with_white_cane
391,man_with_white_cane
392,woman_with_white_cane
393,person_in_motorized_wheelchair
394,man_in_motorized_wheelchair
395,woman_in_motorized_wheelchair
396,person_in_manual_wheelchair
397,man_in_manual_wheelchair
398,woman_in_manual_wheelchair
399,person_running
400,man_running
401,woman_running
402,woman_dancing
403,man_dancing
404,person_in_suit_levitating
405,people_with_bunny_ears
406,men_with_bunny_ears
407,women_with_bunny_ears
408,person_in_steamy_room
409,man_in_steamy_room
410,woman_in_steamy_room
411,person_climbing
412,man_climbing
413,woman_climbing
414,person_fencing
415,horse_racing
416,skier
417,snowboarder
418,person_golfing
419,man_golfing
420,woman_golfing
421,person_surfing
422,man_surfing
423,woman_surfing
424,person_rowing_boat
425,man_rowing_boat
426,woman_rowing_boat
427,person_swimming
428,man_swimming
429,woman_swimming
430,person_bouncing_ball
431,man_bouncing_ball
432,woman_bouncing_ball
433,person_lifting_weights
434,man_lifting_weights
435,woman_lifting_weights
436,person_biking
437,man_biking
438,woman_biking
439,person_mountain_biking
440,man_mountain_biking
441,woman_mountain_biking
442,person_cartwheeling
443,man_cartwheeling
444,woman_cartwheeling
445,people_wrestling
446,men_wrestling
447,women_wrestling
448,person_playing_water_polo
449,man_playing_water_polo
450,woman_playing_water_polo
451,person_playing_handball
452,man_playing_handball
453,woman_playing_handball
454,person_juggling
455,man_juggling
456,woman_juggling
457,person_in_lotus_position
458,man_in_lotus_position
459,woman_in_lotus_position
460,person_taking_bath
461,person_in_bed
462,people_holding_hands
463,women_holding_hands
464,woman_and_man_holding_hands
465,men_holding_hands
466,kiss
467,kiss_woman_man
468,kiss_man_man
469,kiss_woman_woman
470,couple_with_heart
