comment_id,comment_text,segmented_text,true_aspect,final_sentiment_label
2,Sama naik semua ini juga komplen..biasanya cuma 90an sekrang 230an..duh semua serba membayar to …jadi g percaya sama pemerintah begini:crying_face:,naik komplain . sekarang . aduh serba membayar kan ga percaya pemerintah,Harga,Negatif
3,Min kalau puteran PDAM dol itu sya ngadu kesiapa ya,admin keran pdam rusak mengadu ke siapa,Meteran (Macet/Bermasalah),Negatif
4,Denda PDAM telat ngalah2in pinjol 50k jadi 150k :face_with_tears_of_joy::face_with_tears_of_joy: parahhh,denda pdam terlambat mengalahkan pinjol parah,Harga,Netral
5,Air ya klo pagi dan jam 3 sore kenapa selalu mati,air pagi jam sore selalu mati,Air Tidak Mengalir,Negatif
6,"gimana si, udah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak lanjut!","si , sudah menghubungi layanan pengaduan sudah hampir seminggu tidak ada tindak !",Pelayanan,Negatif
7,"Air PDAM daerah Jemurwonosari pagi sdh mati sore juga kalau pun keluar kecil , juga kotor tolong d cek","air pdam daerah jemurwonosari pagi sudah mati sore keluar kecil , kotor cek",Air Tidak Mengalir,Negatif
9,Pak tolong tenggumung wetan gang garuda mati udah 3 hari ini... Tolong di tindak lanjuti ..,tenggumung wetan gang garuda mati sudah . tindak .,Air Tidak Mengalir,Negatif
10,PDAM tidak keluar air setro baru Utara 9,pdam tidak keluar air setro baru utara,Air Tidak Mengalir,Negatif
11,Td ada petugas pdam ke rmh namun tdk menggunakan seragam resmin pdam katanya mau peremajaan meteran apa betul? Untuk kelurahan dukuh menanggal,ada petugas pdam rumah tidak menggunakan seragam resmi pdam katanya peremajaan meter ? kelurahan dukuh menanggal,Meteran (Macet/Bermasalah),Netral
12,Pdam naik melulu ya?,pdam naik selalu ?,Harga,Netral
14,"Hari ini, barusan jam 14.45 WIB air mati di daerah Kebraon. Tolong petugas cek ke lapangan @pdamsuryasembada",", barusan jam . air mati daerah kebraon . petugas cek lapangan",Air Tidak Mengalir,Negatif
15,Tolong dicek @pdamsuryasembada  setro baru Utara air terlalu kecil sehingga tandon tidak mengisi tolong di tindak lanjuti terimakasih setro baru Utara 9,cek setro baru utara air kecil tandon tidak mengisi tindak terima kasih setro baru utara,Air Tidak Mengalir,Negatif
