word,pos,sentiment
agustus,Keterangan,0
april,Keterangan,0
area,Keterangan,0
besok,Keterangan,0
bulan,Keterangan,-1
daerah,Keterangan,0
desember,Keterangan,0
februari,Keterangan,0
hari,Keterangan,0
jam,Keterangan,0
januari,Keterangan,0
juli,Keterangan,0
kali,Keterangan,0
malam,Keterangan,-1
maret,Keterangan,0
mei,Keterangan,0
minggu,Keterangan,0
november,Keterangan,0
now,Keterangan,0
oktober,Keterangan,0
pagi,Keterangan,0
sekarang,Keterangan,0
september,Keterangan,0
siang,Keterangan,0
tadi,Keterangan,0
tahun,Keterangan,0
tanggal,Keterangan,-1
wilayah,Keterangan,0
