comment_id,comment_text,segmented_text,stemmed_segmented_text,true_aspect,predicted_aspect,similarity_score
2292,Kerennn yang ngedit nih,keren edit,keren edit,Lainnya,Pelayanan,1.0
7686,Keren!!🔥,keren !,keren !,Lainnya,Pelayanan,1.0
8458,Keren....🔥🔥,keren .,keren .,Lainnya,Pelayanan,1.0
11214,tolong cek dm @pdamsuryasembada,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
11808,@pdamsuryasembada ceek dm,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
14481,@pdamsuryasembada cek DM.,cek pesan .,cek pesan .,Pelayanan,Lainnya,1.0
14482,@pdamsuryasembada cek dm,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
15955,Perbaikannya smp jam brp ya?,sampai jam ?,sampai jam ?,Air Tidak Mengalir,Lainnya,1.0
15957,Ini perbaikannya smp jam brp ?,sampai jam ?,sampai jam ?,Air Tidak Mengalir,Lainnya,1.0
16793,@pdamsuryasembada check DM Miin,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
16878,Dukuh kupang raya belum mengalir min,dukuh kupang raya belum mengalir admin,dukuh kupang raya belum alir admin,Air Tidak Mengalir,Lainnya,1.0000000000000002
18731,Kapan nyala ini min....,kapan hidup admin .,kapan hidup admin .,Air Tidak Mengalir,Lainnya,1.0
18904,@pdamsuryasembada sampai jam berapa??,sampai jam ?,sampai jam ?,Air Tidak Mengalir,Lainnya,1.0
18909,@pdamsuryasembada sampai jam piro pak?,sampai jam ?,sampai jam ?,Air Tidak Mengalir,Lainnya,1.0
18978,@pdamsuryasembada cek dm,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
20349,@pdamsuryasembada kapan nyala,kapan hidup,kapan hidup,Air Tidak Mengalir,Lainnya,1.0
20645,"Woyy... Luar biasa, kereeeen",". , keren",". , keren",Lainnya,Pelayanan,1.0
20660,Wooww.. keren 😍😍😍,. keren,. keren,Lainnya,Pelayanan,1.0
20715,Kereeen..🔥👏👏,keren .,keren .,Lainnya,Pelayanan,1.0
21699,Minnnn ws ngelewati jam kok belum nyalah yaa?,sudah jam belum hidup ?,sudah jam belum hidup ?,Lainnya,Air Tidak Mengalir,1.0000000000000002
21919,Keren Hexa.. semangatttt😍❤️,keren .,keren .,Lainnya,Pelayanan,1.0
21920,Keren....,keren .,keren .,Lainnya,Pelayanan,1.0
21933,Devano kereeen..🔥🔥🔥,keren .,keren .,Lainnya,Pelayanan,1.0
22214,@pdamsuryasembada cek DM,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
22305,Keren!! 🙌,keren !,keren !,Lainnya,Pelayanan,1.0
22316,Kereen ...,keren .,keren .,Lainnya,Pelayanan,1.0
22419,Kerennnn !!🔥🔥,keren !,keren !,Lainnya,Pelayanan,1.0
22454,Kereeennn.....,keren .,keren .,Lainnya,Pelayanan,1.0
22674,Mantaaap.... Kereeeen... 🔥,. keren .,. keren .,Lainnya,Pelayanan,1.0
22721,Keren..👏,keren .,keren .,Lainnya,Pelayanan,1.0
22784,Kereeenn.....👏👏🔥❤️,keren .,keren .,Lainnya,Pelayanan,1.0
23063,Waaah keren.,keren .,keren .,Lainnya,Pelayanan,1.0
23066,Mantapp Hajar Pole🔥🔥🔥,mantap hajar,mantap hajar,Lainnya,Pelayanan,1.0
23077,"Kereen,.. 👍","keren , .","keren , .",Lainnya,Pelayanan,1.0
23146,Kereeenn...mantaappp 🔥🔥🔥🔥,keren .,keren .,Lainnya,Pelayanan,1.0
23189,Wah kerenn 👏👏👏 semangatt terus yaa!! 🔥🔥🔥,keren !,keren !,Lainnya,Pelayanan,1.0
23196,Keren....❤️👏,keren .,keren .,Lainnya,Pelayanan,1.0
23341,Merinding 😍😍😍😍 keren.,merinding keren .,merinding keren .,Lainnya,Pelayanan,1.0
23403,Kerenn.. 🔥🔥🔥👏,keren .,keren .,Lainnya,Pelayanan,1.0
23616,Kueren...,keren .,keren .,Lainnya,Pelayanan,1.0
23659,Keren.... ❤️,keren .,keren .,Lainnya,Pelayanan,1.0
23739,Keren..🤍🤍,keren .,keren .,Lainnya,Pelayanan,1.0
23794,Keren beken,keren beken,keren beken,Lainnya,Pelayanan,1.0
23822,D'Faaco Keren,faaco keren,faaco keren,Lainnya,Pelayanan,1.0
23910,Wah keren...,keren .,keren .,Lainnya,Pelayanan,1.0
24070,Wes nyala ta?,sudah hidup ta ?,sudah hidup ta ?,Air Tidak Mengalir,Lainnya,1.0
24537,cek dm,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
24947,@pdamsuryasembada tolong cek dm terus bagaimana pak,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
25537,@pdamsuryasembada cek DM,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
26594,@pdamsuryasembada ohh baik. Untuk nyala kembali kapan yaa?,. hidup kapan ?,. hidup kapan ?,Air Tidak Mengalir,Lainnya,1.0
26823,Nyalain sendiri Alter 🔥🔥🔥🔥🔥🔥,hidup alter,hidup alter,Lainnya,Air Tidak Mengalir,1.0
26887,kerenn!!🤩🤩🤩,keren !,keren !,Lainnya,Pelayanan,1.0
28372,@pdamsuryasembada cek dm,cek pesan,cek pesan,Pelayanan,Lainnya,1.0
28571,@insomnila di daerah ku udah nyala deres bgt kak...,daerah ku sudah hidup deres banget kakak .,daerah ku sudah hidup deres banget kakak .,Air Tidak Mengalir,Lainnya,1.0
